Résumé,Catégorie,Coût Initial (€),Coût Installation (€),Coût Mise en Service (€),Coût Annuel Récurrent (€),Total Première Année (€),Notes
Hardware Complet,Hub Central,115.00,15.00,20.00,0.00,150.00,Gateway principal
Hardware Complet,Sensor Nodes Internes (x3),221.00,30.00,45.00,0.00,296.00,Monitoring multi-pièces
Hardware Complet,Sensor Node Externe,69.00,35.00,30.00,0.00,134.00,Météo + ΔT calcul
Hardware Complet,Control Node Ventilation,82.00,45.00,45.00,0.00,172.00,Actuateurs intelligents
Hardware Complet,,Sous-total Hardware,487.00,125.00,140.00,0.00,752.00,Voir détail CSV 05

Connectivité,LoRa Mesh Local,91.00,40.00,90.00,0.00,221.00,Résilience locale
Connectivité,LoRaWAN TTN,0.00,0.00,40.00,0.00,40.00,Backup WAN gratuit
Connectivité,WiFi Primary,0.00,0.00,50.00,420.00,470.00,Connexion existante
Connectivité,IPFS Décentralisé,12.00,0.00,70.00,60.00,142.00,Storage souverain
Connectivité,Cloud Services,0.00,0.00,70.00,312.00,382.00,Hetzner + 1Password etc
Connectivité,Monitoring,0.00,0.00,50.00,84.00,134.00,Observabilité
Connectivité,Sécurité,0.00,0.00,70.00,0.00,70.00,Hardening
Connectivité,Support,0.00,0.00,130.00,120.00,250.00,Maintenance
Connectivité,,Sous-total Connectivité,103.00,40.00,570.00,996.00,"1,709.00",Voir détail CSV 08

Installation Générale,Câblage & Fixations,55.00,80.00,0.00,0.00,135.00,Infrastructure physique
Installation Générale,Documentation & Formation,0.00,0.00,240.00,0.00,240.00,Accompagnement client
Installation Générale,,Sous-total Installation,55.00,80.00,240.00,0.00,375.00,Setup complet

Gros Œuvre (Phase 2),Ventilation,0.00,350.00,0.00,0.00,350.00,Variable par site
Gros Œuvre (Phase 2),Câblage électrique,0.00,200.00,0.00,0.00,200.00,Installation professionnelle
Gros Œuvre (Phase 2),Fixations murales,0.00,150.00,0.00,0.00,150.00,Supports + montage
Gros Œuvre (Phase 2),,Sous-total Gros Œuvre,0.00,700.00,0.00,0.00,700.00,Phase 2 uniquement

,,TOTAL PAR INSTALLATION (Phase 2),645.00,945.00,950.00,996.00,"3,536.00",Installation complète production

Phase 1 - Digital Twin,Développement Virtual,0.00,0.00,0.00,0.00,0.00,Software only
Phase 1 - Digital Twin,Design & Documentation,0.00,0.00,0.00,0.00,0.00,Schémas + pitch deck
Phase 1 - Digital Twin,Démo Matterport + Vercel,0.00,0.00,0.00,0.00,0.00,Équipement existant
Phase 1 - Digital Twin,,TOTAL PHASE 1,0.00,0.00,0.00,0.00,0.00,ZÉRO INVESTISSEMENT MATÉRIEL

Coûts Année 2+,Hardware,0.00,0.00,0.00,0.00,0.00,Déjà amorti
Coûts Année 2+,Connectivité & Cloud,0.00,0.00,0.00,996.00,996.00,Services récurrents
Coûts Année 2+,Maintenance & Support,0.00,0.00,0.00,240.00,240.00,Updates + helpdesk
Coûts Année 2+,,TOTAL ANNUEL AN 2+,0.00,0.00,0.00,"1,236.00","1,236.00",Coût exploitation

Scaling - Volume,Installation 5 unités,"-3,225.00","-4,725.00","-4,750.00","-4,980.00","-17,680.00",~10% discount
Scaling - Volume,Installation 10 unités,"-6,450.00","-9,450.00","-9,500.00","-9,960.00","-35,360.00",~10% discount
Scaling - Volume,Installation 50 unités,"-32,250.00","-47,250.00","-47,500.00","-49,800.00","-176,800.00",~15% discount

Business Model,SaaS Subscription Client,0.00,0.00,0.00,-100.00,"-1,200.00",Revenus mensuel/installation
Business Model,Coût Net Année 1 (avec SaaS),645.00,945.00,950.00,896.00,"2,336.00",Après revenus subscription
Business Model,Break-even,12-15 installations,,,,"18-24 mois",ROI positif

Financement,Grant Digital Europe,"50,000.00 - 200,000.00",,,,"Couvre 14-56 installations",Moyenne attendue
Financement,Grant Horizon Europe,"100,000.00 - 500,000.00",,,,"Couvre 28-141 installations + R&D",Scaling + BelgBERT
Financement,Revenus SaaS Année 1,"-1,200.00",,,,"par installation",Récurrent croissant

Variations & Options,Node additionnel,75.00,10.00,15.00,0.00,100.00,Par pièce supplémentaire
Variations & Options,Capteur Air Quality avancé,35.00,5.00,10.00,0.00,50.00,PM2.5 + VOC
Variations & Options,Hub Premium (OPi 5),+45.00,0.00,0.00,0.00,+45.00,8GB RAM plus puissant
Variations & Options,Gateway LoRa dédié,85.00,20.00,30.00,0.00,135.00,Multi-sites

Comparaison Marché,Concurrent A (Nest),800.00,150.00,100.00,"240.00","2,130.00",Lock-in Google + cloud US
Comparaison Marché,Concurrent B (Tado),600.00,200.00,80.00,"180.00","1,940.00",Limité chauffage only
Comparaison Marché,COSMIC Advantage,"-155.00 à -1,394.00",+595.00 à +745.00,+670.00 à +770.00,+756.00 à +816.00,"Comparable à +1,406.00",Résilience + EU sovereignty

Avantages COSMIC,Souveraineté EU,Inestimable,,,,,"RGPD native, data EU",Différenciation majeure
Avantages COSMIC,Triple Redundancy,Inclus,,,,,"LoRa + TTN + WiFi",Competitors: single point failure
Avantages COSMIC,IPFS Décentralisé,Inclus,,,,,Concurrent: cloud centralisé uniquement
Avantages COSMIC,Open Standards,Inestimable,,,,,Zero vendor lock-in
Avantages COSMIC,Thermal Differential,Unique,,,,,30-50% économies énergie
Avantages COSMIC,Digital Twin First,0€ risk,,,,,Validation avant investissement

ROI Client,Économies Énergie,"-300.00 à -600.00",,,,"par an",30-50% réduction chauffage/clim
ROI Client,Confort Amélioré,Inestimable,,,,,Qualité air + température optimale
ROI Client,ROI Client Total,"18-30 mois",,,,,Installation rentabilisée
ROI Client,Valeur Propriété,"+2-5%",,,,,Smart home augmente valeur

Synthèse,Investment Minimal (Phase 1),0.00,0.00,0.00,0.00,0.00,Digital Twin - Zero risk
Synthèse,Investment Standard (Phase 2 - 1 install),645.00,945.00,950.00,996.00,"3,536.00",Production première installation
Synthèse,Coût Exploitation Annuel (An 2+),0.00,0.00,0.00,"1,236.00","1,236.00",Services + maintenance
Synthèse,Revenus SaaS Annuel (par install),0.00,0.00,0.00,"-1,200.00","-1,200.00",100€/mois récurrent
Synthèse,Profit Net Annuel (An 2+),0.00,0.00,0.00,-36.00,-36.00,Quasi break-even (marge sur volume)
